sec_dev_0000/ent_A_0001	CCF_Infantry
sec_dev_0000/ent_A_0002	CCF_Infantry
sec_dev_0000/ent_A_0003	CCF_Infantry
sec_dev_0000/ent_A_0004	CCF_Infantry
sec_dev_0000/ent_A_0005	CCF_Infantry
sec_dev_0000/ent_A_0006	UNKNOWN
sec_dev_0000/ent_A_0007	CCF_Infantry
sec_dev_0000/ent_A_0008	CCF_Infantry
sec_dev_0000/ent_A_0009	CCF_Infantry
sec_dev_0000/ent_A_0010	UNKNOWN
sec_dev_0000/ent_A_0011	ROK_Infantry
sec_dev_0000/ent_A_0012	ROK_Infantry
sec_dev_0000/ent_A_0013	ROK_Infantry
sec_dev_0000/ent_A_0014	UNKNOWN
sec_dev_0000/ent_A_0015	ROK_Infantry
sec_dev_0000/ent_A_0016	ROK_Infantry
sec_dev_0000/ent_A_0017	ROK_Infantry
sec_dev_0000/ent_A_0018	ROK_Infantry
sec_dev_0000/ent_A_0019	ROK_Infantry
sec_dev_0000/ent_A_0020	ROK_Tank
sec_dev_0000/ent_A_0021	US_Tank
sec_dev_0000/ent_A_0022	US_Tank
sec_dev_0000/ent_A_0023	ROK_Tank
sec_dev_0000/ent_A_0024	US_Artillery
sec_dev_0000/ent_A_0025	ROK_Artillery
sec_dev_0000/ent_A_0026	ROK_Artillery
sec_dev_0000/ent_A_0027	QuadFifty
sec_dev_0000/ent_A_0028	QuadFifty
sec_dev_0000/ent_A_0029	Engineer
sec_dev_0000/ent_A_0030	VehicleColumn
sec_dev_0000/ent_A_0031	Searchlight
sec_dev_0000/ent_A_0032	VehicleColumn
sec_dev_0000/ent_B_0001	UNKNOWN
sec_dev_0000/ent_B_0002	CCF_Infantry
sec_dev_0000/ent_B_0003	CCF_Infantry
sec_dev_0000/ent_B_0004	UNKNOWN
sec_dev_0000/ent_B_0005	CCF_Infantry
sec_dev_0000/ent_B_0006	CCF_Infantry
sec_dev_0000/ent_B_0007	CCF_Infantry
sec_dev_0000/ent_B_0008	CCF_Infantry
sec_dev_0000/ent_B_0009	CCF_Infantry
sec_dev_0000/ent_B_0010	CCF_Infantry
sec_dev_0000/ent_B_0011	UNKNOWN
sec_dev_0000/ent_B_0012	ROK_Infantry
sec_dev_0000/ent_B_0013	ROK_Infantry
sec_dev_0000/ent_B_0014	ROK_Infantry
sec_dev_0000/ent_B_0015	ROK_Infantry
sec_dev_0000/ent_B_0016	ROK_Infantry
sec_dev_0000/ent_B_0017	ROK_Infantry
sec_dev_0000/ent_B_0018	ROK_Infantry
sec_dev_0000/ent_B_0019	ROK_Infantry
sec_dev_0000/ent_B_0020	ROK_Infantry
sec_dev_0000/ent_B_0021	ROK_Tank
sec_dev_0000/ent_B_0022	US_Tank
sec_dev_0000/ent_B_0023	UNKNOWN
